159	0
229	0
34	1
159	1
53	2
142	3
105	4
6	5
12	5
22	5
37	5
54	5
64	5
65	5
81	5
88	5
97	5
106	5
116	5
120	5
121	5
128	5
150	5
170	5
184	5
197	5
207	5
215	5
247	5
53	6
64	6
128	6
27	7
79	7
67	8
36	9
139	10
100	11
261	11
75	12
43	13
53	14
65	14
247	15
173	16
218	16
19	17
61	18
104	18
38	20
61	21
53	22
54	22
64	22
97	22
115	22
116	22
120	22
128	22
145	22
150	22
170	22
207	22
254	22
27	23
40	23
71	24
76	25
53	26
65	26
58	27
116	27
176	27
159	28
44	29
88	29
92	29
117	29
161	30
83	31
229	32
259	33
85	35
98	36
65	37
125	38
257	39
173	41
151	42
95	43
118	45
148	45
131	46
53	47
251	48
180	49
251	50
99	51
237	52
54	53
56	53
70	53
81	53
86	53
92	53
112	53
116	53
120	53
130	53
134	53
137	53
138	53
154	53
170	53
171	53
177	53
184	53
194	53
210	53
221	53
244	53
247	53
64	54
81	54
97	54
128	54
109	55
217	55
64	56
65	57
142	57
252	58
212	59
89	60
80	61
102	61
119	61
136	61
146	61
180	61
243	61
264	61
116	62
111	63
81	64
116	64
120	64
128	64
137	64
150	64
170	64
184	64
197	64
201	64
207	64
220	64
244	64
247	64
88	65
103	65
105	65
120	65
158	65
170	65
171	65
184	65
210	65
220	65
221	65
133	66
190	68
131	69
148	72
229	72
107	73
79	74
106	75
161	75
249	75
242	77
117	78
128	81
137	81
101	82
247	83
229	84
229	87
89	88
92	88
105	88
117	88
113	89
139	90
92	91
117	91
93	92
97	93
117	93
128	93
159	94
212	96
120	97
170	97
247	97
110	101
170	108
245	114
120	116
128	116
145	116
213	116
249	117
142	118
176	118
128	120
215	120
132	122
124	123
252	123
229	124
252	126
229	127
137	128
170	128
184	128
210	128
244	128
148	129
195	129
151	133
162	133
168	133
172	133
174	133
175	133
218	133
228	133
233	133
259	133
198	135
139	136
157	136
251	136
155	138
146	139
209	139
225	139
251	139
264	139
245	140
230	141
240	141
157	143
209	143
243	143
249	144
166	147
159	148
169	148
191	148
203	148
213	148
240	148
202	149
257	149
165	150
181	150
193	150
207	150
168	151
196	151
242	151
189	152
200	152
258	152
168	153
160	155
245	156
248	157
169	159
182	159
183	159
186	159
188	159
190	159
191	159
195	159
232	159
267	159
268	159
187	160
249	161
169	163
227	164
173	165
207	165
187	167
235	168
262	168
182	169
186	169
191	169
203	169
213	169
232	169
240	169
267	169
238	170
240	170
226	175
229	176
252	176
265	178
194	179
204	180
199	181
207	181
218	181
222	181
186	182
191	183
232	183
263	185
205	186
213	186
223	186
246	186
252	186
224	187
265	187
212	188
213	188
227	189
256	189
263	189
232	190
251	190
252	191
212	192
250	192
228	193
215	194
247	195
242	196
249	197
211	198
218	199
258	200
263	200
257	202
240	203
213	205
227	206
258	206
217	208
243	209
219	210
224	212
250	212
253	212
226	213
231	213
240	213
251	213
248	214
221	215
223	216
251	219
263	224
258	227
241	228
255	234
263	236
251	239
264	239
267	240
263	258
266	260
